Subject,Genotype,Drug,Plateau_Area,Condition
20241211_c1,GNB1,ML297,31.01890164222364,Before
20241211_c1,GNB1,ML297,20.9381812006162,After
20250114_c2,GNB1,ML297,33.62345058416227,Before
20250114_c2,GNB1,ML297,24.77984986152757,After
20250116_c1,GNB1,ML297,14.068821843417858,Before
20250116_c1,GNB1,ML297,12.532318240492405,After
20250116_c2,GNB1,ML297,24.275696166785444,Before
20250116_c2,GNB1,ML297,15.201420915222638,After
20250122_c1,GNB1,ML297,21.43055673441174,Before
20250122_c1,GNB1,ML297,16.60122255146965,After
20250124_c1,GNB1,ML297,23.970440622814035,Before
20250124_c1,GNB1,ML297,11.103945760623926,After
20250304_c1,GNB1,ML297,30.79578419630985,Before
20250304_c1,GNB1,ML297,20.475095185283973,After
20250304_c2,GNB1,ML297,19.77570090763529,Before
20250304_c2,GNB1,ML297,9.415715421128178,After
20250310_c2,GNB1,ML297,14.06048025812651,Before
20250310_c2,GNB1,ML297,10.49648998911799,After
20250317_c1,WT,ML297,37.57002605501369,Before
20250317_c1,WT,ML297,39.29193717302587,After
20250317_c2,WT,ML297,9.224524160628569,Before
20250317_c2,WT,ML297,8.480535983508862,After
20250317_c3,WT,ML297,6.59316910407901,Before
20250317_c3,WT,ML297,11.766544061395216,After
20250325_c2,WT,ML297,32.26861778948013,Before
20250325_c2,WT,ML297,25.7268640350685,After
20250326_c1,WT,ML297,8.451287624724563,Before
20250326_c1,WT,ML297,13.950953834123435,After
20250326_c2,WT,ML297,12.181145644218356,Before
20250326_c2,WT,ML297,9.78741878336059,After
20250327_c3,WT,ML297,42.47563282836546,Before
20250327_c3,WT,ML297,44.94522858863119,After
20250408_c1,WT,ETX,16.59047540475247,Before
20250408_c1,WT,ETX,25.89052019622733,After
20250408_c2,WT,ETX,17.98795779476976,Before
20250408_c2,WT,ETX,27.136218205322702,After
20250409_c1,WT,ETX,50.74744783428668,Before
20250409_c1,WT,ETX,53.8632220592928,After
20250409_c2,WT,ETX,6.186808423857836,Before
20250409_c2,WT,ETX,16.560098254151935,After
20250428_c1,WT,ETX,20.721606912777425,Before
20250428_c1,WT,ETX,19.817619839509405,After
20250428_c2,WT,ETX,10.683244108258387,Before
20250428_c2,WT,ETX,14.238133272438793,After
20250429_c2,WT,ETX,9.522135900199938,Before
20250429_c2,WT,ETX,34.16800095087631,After
20250429_c3,WT,ETX,13.581318566772834,Before
20250429_c3,WT,ETX,25.77162134733581,After
20250506_c2,GNB1,ETX,35.01807364057662,Before
20250506_c2,GNB1,ETX,37.09690348263188,After
20250507_c1,GNB1,ETX,46.22805861385268,Before
20250507_c1,GNB1,ETX,48.19845409069646,After
20250507_c2,GNB1,ETX,40.96304357368352,Before
20250507_c2,GNB1,ETX,46.52228803983207,After
20250514_c2,GNB1,ETX,24.289091717725125,Before
20250514_c2,GNB1,ETX,23.17092654239589,After
20250514_c3,GNB1,ETX,22.075968105329792,Before
20250514_c3,GNB1,ETX,32.85371189451227,After
20250523_c2,GNB1,ETX,15.257413040387364,Before
20250523_c2,GNB1,ETX,22.1940569871885,After
20250523_c3,GNB1,ETX,19.02120511017493,Before
20250523_c3,GNB1,ETX,17.169642028466296,After
20250605_c2,WT,ML297,23.89266686945921,Before
20250605_c2,WT,ML297,31.313645120226443,After
20250605_c3,WT,ML297,3.168907884606765,Before
20250605_c3,WT,ML297,1.6488498777121487,After
20250606_c1,GNB1,ETX,33.24795090679298,Before
20250606_c1,GNB1,ETX,43.77326922085901,After
20250606_c2,GNB1,ETX,10.779527447918989,Before
20250606_c2,GNB1,ETX,22.79920890666517,After
