,E_I_Stim_300_ISI,E_I_Stim_10_ISI,Theta_Burst_MCII_old,LTP_50Hz_MCII,E_I_Stim_25_ISI,E_I_Stim_100_ISI,Baseline_Stim,E_I_Stim_50_ISI
channel 1,[ 500.   800.3 1100.6],[500.  510.3 520.6],"[ 500.   510.3  520.6  530.9  541.2  661.5  671.8  682.1  692.4  702.7
  823.   833.3  843.6  853.9  864.2  984.5  994.8 1005.1 1015.4 1025.7
 1146.  1156.3 1166.6 1176.9 1187.2]","[100.  120.3 140.6 160.9 181.2 201.5 221.8 242.1 262.4 282.7 303.  323.3
 343.6 363.9 384.2 404.5 424.8 445.1 465.4 485.7 506.  526.3 546.6 566.9
 587.2]",[500.  525.3 550.6],[500.  600.3 700.6],[500.  550.3],[500.  550.3 600.6]
channel 2,[1500.  1800.3 2100.6],[1500.  1510.3 1520.6],"[ 500.   510.3  520.6  530.9  541.2  661.5  671.8  682.1  692.4  702.7
  823.   833.3  843.6  853.9  864.2  984.5  994.8 1005.1 1015.4 1025.7
 1146.  1156.3 1166.6 1176.9 1187.2]","[110.  130.3 150.6 170.9 191.2 211.5 231.8 252.1 272.4 292.7 313.  333.3
 353.6 373.9 394.2 414.5 434.8 455.1 475.4 495.7 516.  536.3 556.6 576.9
 597.2]",[1500.  1525.3 1550.6],[1500.  1600.3 1700.6],[800.  850.3],[1500.  1550.3 1600.6]
